Date,Open,ASKHI,BIDLO,Close,PRC,Volume,RET,SHROUT,TP,vwretx
8/30/2021,112.610001,114.489998,111.260002,111.32,111.32,56130500,-0.000718151,1230000000,6306635878,-0.063357446
8/31/2021,111.260002,111.260002,109.029999,110.720001,110.720001,49339000,-0.005389858,1230000000,5443900830,-0.13679798
9/1/2021,111.300003,111.849998,109.849998,109.989998,109.989998,38579600,-0.006593235,1230000000,4265489098,-0.216464585
9/2/2021,110.32,110.879997,108.769997,109.199997,109.199997,40090500,-0.00718248,1230000000,4394586855,0.03026564
9/3/2021,108.849998,111.169998,108.5,109.919998,109.919998,42605800,0.006593416,1230000000,4680815151,0.065132015
9/7/2021,109.959999,110.580002,108.660004,109.150002,109.150002,28815200,-0.007005058,1230000000,3154207920,-0.32614132
9/8/2021,108.879997,109.300003,105.519997,106.169998,106.169998,43067900,-0.027301914,1230000000,4608121712,0.460944183
9/9/2021,106.559998,107.300003,105.839996,106.150002,106.150002,31857900,-0.000188339,1230000000,3390636308,-0.264204264
9/10/2021,106.989998,106.989998,104.980003,105.199997,105.199997,32602300,-0.008949647,1230000000,3446823809,0.016571374
9/13/2021,105.260002,105.279999,102.629997,104.800003,104.800003,37767800,-0.003802224,1230000000,3936789567,0.142149929
9/14/2021,105.519997,106.82,104.419998,105.730003,105.730003,40629500,0.008874046,1230000000,4292777552,0.090425962
9/15/2021,106,106.32,104.029999,105.599998,105.599998,37998900,-0.001229594,1230000000,4001917447,-0.06775569
9/16/2021,104.919998,106.75,103.760002,106.220001,106.220001,38150300,0.005871241,1230000000,4027781544,0.006462926
9/17/2021,105.559998,105.980003,103.709999,103.879997,103.879997,44528300,-0.022029787,1230000000,4654246329,0.155535939
9/20/2021,101.580002,102.510002,99.510002,101.550003,101.550003,45228400,-0.022429669,1230000000,4576661902,-0.016669601
9/21/2021,102.150002,103.43,101.18,102.82,102.82,35481500,0.012506125,1230000000,3636025848,-0.205528849
9/22/2021,102.82,104.559998,102.209999,104.379997,104.379997,34126300,0.015172116,1230000000,3539466013,-0.026556421
9/23/2021,104.889999,106.860001,103.889999,106.150002,106.150002,32816700,0.01695732,1230000000,3466537432,-0.020604402
9/24/2021,105.190002,106.050003,104.68,105.800003,105.800003,26482600,-0.003297211,1230000000,2794179179,-0.193956727
9/27/2021,105.07,108.440002,103.440002,108.160004,108.160004,51944300,0.022306247,1230000000,5541418063,0.983200685
9/28/2021,106.839996,107.650002,101.419998,101.519997,101.519997,74469000,-0.061390595,1230000000,7709775496,0.391300098
9/29/2021,102.300003,102.660004,99.809998,100.349998,100.349998,52224700,-0.011524813,1230000000,5271561218,-0.316249712
9/30/2021,102.080002,104.440002,101.989998,102.900002,102.900002,57636700,0.025411102,1230000000,5942920175,0.127354863
10/1/2021,102.599998,103,100.639999,102.449997,102.449997,41491600,-0.004373226,1229000000,4233387893,-0.287658631
10/4/2021,101.739998,101.849998,99.82,100.339996,100.339996,41967100,-0.020595423,1229000000,4224827873,-0.002022026
10/5/2021,100.919998,102.870003,100.610001,101.809998,101.809998,31455200,0.01465021,1229000000,3200986024,-0.242339305
10/6/2021,100.449997,103.720001,100.349998,103.639999,103.639999,39071700,0.017974669,1229000000,4007584243,0.251984299
10/7/2021,104.599998,107.949997,104.459999,106.449997,106.449997,41543100,0.027113065,1229000000,4415477525,0.101780339
10/8/2021,106.550003,107.279999,104.889999,105.059998,105.059998,30623000,-0.013057765,1229000000,3238178056,-0.266630158
10/11/2021,104.620003,107.199997,104.019997,104.68,104.68,31284400,-0.003616962,1229000000,3294247257,0.017315046
